PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW0,PLC2_MemoryRegisters_MW1,PLC2_Coils_QX00,prev_PLC3_InputRegisters_IW0,prev_PLC3_Coils_QX00,prev_PLC1_InputRegisters_IW0,prev_PLC1_Coils_QX00,prev_PLC1_Coils_QX01,prev_PLC1_Coils_QX02,prev_PLC2_InputRegisters_IW0,prev_PLC2_Coils_QX00
1,10,0,65,40,80,0,1,1,16,10,20,1,1,0,66,0,1,1,16,1
1,10,0,65,40,80,0,1,1,16,10,20,1,1,0,65,0,1,1,16,1
1,10,0,65,40,80,0,1,1,16,10,20,1,1,0,65,0,1,1,16,1
1,10,0,64,40,80,0,1,1,16,10,20,1,1,0,65,0,1,1,16,1
1,10,0,64,40,80,0,1,1,16,10,20,1,1,0,64,0,1,1,16,1
1,10,0,64,40,80,0,1,1,16,10,20,1,1,0,64,0,1,1,16,1
1,10,0,64,40,80,0,1,1,17,10,20,1,1,0,64,0,1,1,16,1
1,10,0,63,40,80,0,1,1,17,10,20,1,1,0,64,0,1,1,17,1
1,10,0,63,40,80,0,1,1,17,10,20,1,1,0,63,0,1,1,17,1
1,10,0,63,40,80,0,1,1,17,10,20,1,1,0,63,0,1,1,17,1
1,10,0,62,40,80,0,1,1,17,10,20,1,1,0,63,0,1,1,17,1
1,10,0,62,40,80,0,1,1,17,10,20,1,1,0,62,0,1,1,17,1
1,10,0,62,40,80,0,1,1,17,10,20,1,1,0,62,0,1,1,17,1
1,10,0,62,40,80,0,1,1,17,10,20,1,1,0,62,0,1,1,17,1
1,10,0,61,40,80,0,1,1,17,10,20,1,1,0,62,0,1,1,17,1
1,10,0,61,40,80,0,1,1,17,10,20,1,1,0,61,0,1,1,17,1
1,10,0,61,40,80,0,1,1,18,10,20,1,1,0,61,0,1,1,17,1
1,10,0,61,40,80,0,1,1,18,10,20,1,1,0,61,0,1,1,18,1
1,10,0,60,40,80,0,1,1,18,10,20,1,1,0,61,0,1,1,18,1
1,10,0,60,40,80,0,1,1,18,10,20,1,1,0,60,0,1,1,18,1
1,10,0,60,40,80,0,1,1,18,10,20,1,1,0,60,0,1,1,18,1
1,10,0,60,40,80,0,1,1,18,10,20,1,1,0,60,0,1,1,18,1
1,10,0,59,40,80,0,1,1,18,10,20,1,1,0,60,0,1,1,18,1
1,10,0,59,40,80,0,1,1,18,10,20,1,1,0,59,0,1,1,18,1
1,10,0,59,40,80,0,1,1,18,10,20,1,1,0,59,0,1,1,18,1
1,10,0,58,40,80,0,1,1,18,10,20,1,1,0,59,0,1,1,18,1
1,10,0,58,40,80,0,1,1,19,10,20,1,1,0,58,0,1,1,18,1
1,10,0,58,40,80,0,1,1,19,10,20,1,1,0,58,0,1,1,19,1
1,10,0,57,40,80,0,1,1,19,10,20,1,1,0,58,0,1,1,19,1
1,10,0,57,40,80,0,1,1,19,10,20,1,1,0,57,0,1,1,19,1
1,10,0,57,40,80,0,1,1,19,10,20,1,1,0,57,0,1,1,19,1
1,10,0,57,40,80,0,1,1,19,10,20,1,1,0,57,0,1,1,19,1
