PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC1_InputRegisters_IW0,PLC1_InputRegisters_IW1,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_MemoryRegisters_MW2,PLC1_MemoryRegisters_MW3,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC1_Coils_QX03,PLC1_Coils_QX04,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW0,PLC2_MemoryRegisters_MW1,PLC2_Coils_QX00,prev_PLC3_InputRegisters_IW0,prev_PLC3_Coils_QX00,prev_PLC1_InputRegisters_IW0,prev_PLC1_InputRegisters_IW1,prev_PLC1_Coils_QX00,prev_PLC1_Coils_QX01,prev_PLC1_Coils_QX02,prev_PLC1_Coils_QX03,prev_PLC1_Coils_QX04,prev_PLC2_InputRegisters_IW0,prev_PLC2_Coils_QX00
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,19,10,20,0,1,0,53,27,0,0,0,1,0,19,0
