timestamp,PLC1_IR0,PLC1_C0,PLC1_C1,PLC1_C2,PLC2_IR0,PLC2_C0,PLC3_IR0,PLC3_C0,PLC3_C1
1764361467.1085277,66,False,False,False,10,True,2,False,False
1764361468.6732056,66,False,False,False,10,True,2,False,False
1764361469.079011,66,False,False,False,10,True,2,False,False
1764361470.7871652,66,False,False,False,10,True,2,False,False
1764361471.6004446,66,False,False,False,10,True,2,False,False
1764361472.2584686,66,False,True,True,10,True,2,False,False
1764361473.0860837,66,False,True,True,10,True,2,False,False
1764361473.6752818,65,False,True,True,10,True,2,False,False
1764361474.2069266,65,False,True,True,11,True,2,False,False
1764361474.970891,65,False,True,True,11,True,2,False,False
1764361475.973309,64,False,True,True,11,True,2,False,False
1764361476.8700724,64,False,True,True,11,True,2,False,False
1764361477.4191973,64,False,True,True,12,True,2,False,False
1764361478.255299,63,False,True,True,12,True,2,False,False
1764361478.978594,63,False,True,True,12,True,2,False,False
1764361479.5155137,62,False,True,True,13,True,2,False,False
1764361480.252287,62,False,True,True,13,True,2,False,False
1764361481.1305695,62,False,True,True,13,True,2,False,False
1764361481.6215012,61,False,True,True,13,True,2,False,False
1764361482.1911893,61,False,True,True,14,True,2,False,False
1764361482.994788,61,False,True,True,14,True,2,False,False
1764361483.5732098,60,False,True,True,14,True,2,False,False
1764361484.3273726,60,False,True,True,14,True,2,False,False
1764361485.0190718,60,False,True,True,14,True,2,False,False
1764361485.5515187,59,False,True,True,15,True,2,False,False
1764361486.5264058,59,False,True,True,15,True,2,False,False
1764361487.3866484,59,False,True,True,15,True,2,False,False
1764361488.193585,58,False,True,True,16,True,2,False,False
1764361489.0166743,58,False,True,True,16,True,2,False,False
1764361490.1742232,57,False,True,True,17,True,2,False,False
1764361491.0711775,57,False,True,True,17,True,2,False,False
1764361491.6625607,56,False,True,True,17,True,2,False,False
1764361492.5066226,56,False,True,True,17,True,2,False,False
1764361493.1873686,56,False,True,True,17,True,2,False,False
1764361493.827073,55,False,True,True,18,True,2,False,False
1764361494.542578,55,False,True,True,18,True,2,False,False
1764361495.2940505,55,False,True,True,18,True,2,False,False
1764361495.8642166,54,False,True,True,18,True,2,False,False
1764361496.9975293,54,False,True,True,19,True,2,False,False
1764361497.5179572,53,False,True,True,19,True,2,False,False
