PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW0,PLC2_MemoryRegisters_MW1,PLC2_Coils_QX00,prev_PLC3_InputRegisters_IW0,prev_PLC3_Coils_QX00,prev_PLC1_InputRegisters_IW0,prev_PLC1_Coils_QX00,prev_PLC1_Coils_QX01,prev_PLC1_Coils_QX02,prev_PLC2_InputRegisters_IW0,prev_PLC2_Coils_QX00,tmp
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,117
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,118
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,119
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,120
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,121
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,122
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,123
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,124
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,20,0,125
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,126
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,127
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,128
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,129
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,130
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,131
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,132
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,133
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,134
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,135
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,136
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,137
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,138
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,139
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,140
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,141
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,142
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,143
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,144
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,145
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,146
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,147
1,10,0,53,40,80,0,0,0,19,10,20,0,1,0,53,0,0,0,19,0,148
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,19,0,149
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,150
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,151
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,152
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,153
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,154
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,155
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,156
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,157
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,158
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,159
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,160
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,161
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,162
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,163
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,164
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,165
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,166
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,167
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,168
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,169
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,170
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,171
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,172
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,173
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,174
1,10,0,53,40,80,0,0,0,18,10,20,0,1,0,53,0,0,0,18,0,175
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,18,0,176
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,177
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,178
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,179
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,180
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,181
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,182
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,183
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,184
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,185
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,186
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,187
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,188
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,189
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,190
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,191
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,192
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,193
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,194
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,195
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,196
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,197
1,10,0,53,40,80,0,0,0,17,10,20,0,1,0,53,0,0,0,17,0,198
