A,B,C,D,E,F,G,H,I,J
1764361799.0194695,68,False,True,True,11,True,1,False,False
1764361802.3249805,67,False,True,True,12,True,1,False,False
1764361805.4613833,65,False,True,True,13,True,1,False,False
1764361808.6169457,64,False,True,True,14,True,1,False,False
1764361811.7569377,62,False,True,True,16,True,1,False,False
1764361814.3091078,61,False,True,True,16,True,1,False,False
1764361817.4280646,59,False,True,True,17,True,1,False,False
1764361820.4527483,58,False,True,True,18,True,1,False,False
1764361824.0493827,56,False,True,True,20,False,1,False,False
1764361827.531958,54,False,False,False,21,False,2,False,False
1764361830.6103776,54,False,False,False,21,False,2,False,False
1764361833.806201,54,False,False,False,20,False,2,False,False
1764361837.358364,54,False,False,False,20,False,2,False,False
1764361841.7844822,54,False,False,False,19,False,2,False,False
1764361844.7238088,54,False,False,False,18,False,2,False,False
1764361848.1066217,54,False,False,False,18,False,2,False,False
1764361851.0788615,54,False,False,False,17,False,2,False,False
1764361854.3142421,54,False,False,False,17,False,2,False,False
1764361856.7199092,54,False,False,False,17,False,2,False,False
1764361860.0729005,54,False,False,False,16,False,2,False,False
1764361863.211888,54,False,False,False,16,False,2,False,False
1764361866.453006,54,False,False,False,15,False,2,False,False
1764361868.9324393,54,False,False,False,15,False,2,False,False
1764361872.2847173,54,False,False,False,14,False,2,False,False
1764361876.3347,54,False,False,False,14,False,2,False,False
1764361879.7471254,54,False,False,False,13,False,2,False,False
1764361882.7217307,54,False,False,False,13,False,2,False,False
1764361885.7915533,54,False,False,False,12,False,2,False,False
1764361889.3019962,54,False,False,False,12,False,2,False,False
1764361892.3526123,54,False,False,False,12,False,2,False,False
1764361895.489377,54,False,False,False,11,False,1,True,False
1764361897.9483073,54,False,False,False,14,False,0,False,False
1764361900.5972216,54,False,False,False,13,False,0,False,False
1764361904.1689432,54,False,False,False,13,False,0,False,False
1764361907.292546,54,False,False,False,12,False,0,False,False
1764361911.0795372,54,False,False,False,12,False,0,False,False
1764361914.2124348,54,False,False,False,11,False,0,False,False
1764361917.7954934,54,False,False,False,11,False,0,False,False
1764361922.1449633,54,False,False,False,10,True,0,False,False
1764361924.8733604,53,False,True,True,11,True,0,False,False
1764361927.8191888,52,False,True,True,12,True,0,False,False
1764361931.034329,50,False,True,True,13,True,0,False,False
1764361933.5242422,49,False,True,True,14,True,0,False,False
1764361936.1606746,48,False,True,True,15,True,0,False,False
1764361938.9883003,46,False,True,True,16,True,0,False,False
1764361941.530499,45,False,True,True,16,True,1,False,False
1764361944.1694295,44,False,True,True,17,True,1,False,False
1764361946.5495327,43,False,True,True,18,True,1,False,False
1764361948.679339,42,False,True,True,18,True,1,False,False
1764361951.430022,41,False,True,True,19,True,1,False,False
1764361953.9259412,40,True,True,True,20,False,1,False,False
1764361956.0557938,41,True,True,True,20,False,1,False,False
1764361958.8823116,41,True,False,False,21,False,1,False,False
1764361961.588062,43,True,False,False,20,False,1,False,False
1764361964.3824866,45,True,False,False,20,False,1,False,False
1764361967.782995,47,True,False,False,19,False,1,False,False
1764361970.7272604,49,True,False,False,19,False,1,False,False
1764361973.0692225,51,True,False,False,18,False,1,False,False
1764361976.5345628,53,True,False,False,18,False,1,False,False
1764361979.7677543,55,True,False,False,17,False,1,False,False
1764361984.5027297,58,True,False,False,17,False,1,False,False
1764361987.310666,60,True,False,False,16,False,1,False,False
1764361990.6394644,62,True,False,False,16,False,1,False,False
1764361993.8842762,64,True,False,False,15,False,1,False,False
1764361997.3370383,67,True,False,False,15,False,1,False,False
1764362001.1365294,69,True,False,False,14,False,1,False,False
1764362004.572282,71,True,False,False,14,False,1,False,False
1764362007.1504445,73,True,False,False,13,False,2,False,False
1764362009.9493804,75,True,False,False,13,False,2,False,False
1764362013.3178527,77,True,False,False,13,False,2,False,False
1764362016.5765154,79,True,False,False,12,False,2,False,False
1764362019.3582268,80,False,False,False,12,False,2,False,False
1764362023.074548,80,False,False,False,11,False,2,False,False
1764362026.4950662,80,False,False,False,11,False,2,False,False
1764362029.0450234,80,False,False,False,11,False,2,False,False
1764362032.416258,80,False,False,False,10,True,2,False,False
1764362035.4412582,79,False,True,True,11,True,2,False,False
1764362038.7782853,77,False,True,True,12,True,2,False,False
1764362042.4660535,75,False,True,True,14,True,2,False,False
1764362045.5967972,73,False,True,True,15,True,2,False,False
1764362049.3355687,71,False,True,True,17,True,2,False,False
