A,B,C,D,E,F,G,H,I,J,K,L
2065,15550,16135,12187,11927,18716,16781,17804,12200,11959,18769,False
2073,15530,16200,12165,11920,18794,16717,17846,12181,11950,18711,False
2081,15508,16120,12206,11952,18744,16634,17796,12201,11967,18803,False
2089,15472,16227,12167,11932,18779,16547,17777,12204,11974,18808,False
2097,15453,16130,12202,11960,18749,16482,17855,12183,11968,18775,False
2105,15434,16131,12199,11956,18723,16419,17843,12190,11970,18755,False
2113,15406,16185,12179,11952,18741,16307,18068,12133,11941,18726,False
2121,15371,16103,12212,11993,18789,16213,17873,12192,11996,18771,False
2129,15334,16146,12190,11970,18745,16134,17928,12184,11991,18804,False
2137,15312,16098,12206,11989,18792,16064,17862,12202,12002,18782,False
2145,15290,16088,12214,11994,18756,15996,18009,12155,11973,18800,False
2153,15272,16275,12139,11943,18834,15945,17925,12181,11998,18781,False
2161,15249,16153,12165,11966,18746,15863,17874,12197,12012,18833,False
2169,15234,16113,12171,11975,18775,15815,17977,12162,11988,18768,False
2177,15216,15972,12230,12020,18791,15751,17900,12195,12015,18822,False
2185,15178,15952,12228,12021,18874,15665,17880,12192,12018,18746,False
2193,15154,16031,12194,12002,18833,15591,17955,12171,12008,18849,False
2201,15128,16078,12173,11994,18785,15505,18013,12153,11993,18834,False
2209,15111,16076,12170,11986,18760,15455,17963,12166,12003,18763,False
2217,15084,15993,12190,12002,18778,15335,18029,12145,11990,18827,False
2225,15051,15970,12188,12010,18795,15265,17926,12162,12006,18816,False
2233,15031,15972,12190,12009,18736,15195,17854,12180,12020,18800,False
2241,15012,15853,12220,12024,18758,15113,17853,12174,12011,18702,False
2249,14994,15971,12172,11990,18716,15036,17901,12158,12001,18725,False
2257,14977,15910,12184,12000,18844,14955,17912,12158,11999,18862,False
2265,14946,15858,12212,12018,18811,14870,17775,12208,12037,18772,False
2273,14934,15889,12194,12008,18788,14813,17908,12170,12009,18811,False
2281,14916,15811,12209,12010,18826,14729,17946,12153,11993,18849,False
2289,14880,15886,12178,11992,18855,14622,17868,12179,12010,18835,False
2297,14854,15735,12214,12011,18780,14497,17767,12204,12021,18779,False
2305,14837,15739,12199,11996,18832,14396,17816,12190,12007,18830,False
2313,14809,15656,12217,11996,18790,14279,17846,12180,11996,18752,False
2321,14792,15707,12189,11971,18789,14178,17889,12170,11982,18785,False
2329,14745,15643,12180,11953,18771,13943,17906,12173,11981,18800,False
2337,14727,15599,12209,11968,18792,13817,17875,12184,11976,18810,False
2345,14705,15608,12185,11945,18809,13710,17805,12201,11980,18775,False
2353,14698,15515,12216,11958,18792,13622,17921,12164,11952,18804,False
2361,14690,15567,12183,11933,18727,13553,17930,12159,11945,18764,False
2369,14683,15570,12175,11921,18784,13468,17888,12176,11949,18762,False
2377,14679,15495,12186,11923,18736,13385,17915,12163,11934,18762,False
2385,14677,15481,12194,11919,18848,13319,17860,12186,11953,18835,False
2393,14663,15311,12243,11960,18779,13231,17801,12197,11964,18768,False
